language,total_words
config,15
description,1
HEAD,1
index,194
packed-refs,4
applypatch-msg,15
commit-msg,24
fsmonitor-watchman,170
post-update,8
pre-applypatch,14
pre-commit,45
pre-merge-commit,13
pre-push,51
pre-rebase,165
pre-receive,24
prepare-commit-msg,45
push-to-checkout,80
sendemail-validate,73
update,133
exclude,7
HEAD,1
main,1
HEAD,1
pack-66f916395bbcc6d046f11c287b3ce9cb59195e31,243
pack-66f916395bbcc6d046f11c287b3ce9cb59195e31,963530
pack-66f916395bbcc6d046f11c287b3ce9cb59195e31,10
main,1
HEAD,1
Catalan,3585
Croatian,3766
Danish,1800765
Dutch,173556
English,466434
Finnish,91672
French,336528
German,1707903
Greek,35279
Italian,661563
Polish,4075605
Portuguese,1108873
Romanian,272616
Russian,171553
Slovenian,344442
Spanish,636598
Swedish,403791
Ukranian,126308
